sch,rdg,math,sci,sid,schid
1,19.343,18.039,17.296,605301,6053
1,18.106,7.53,13.292,605302,6053
1,10.26,14.996,6.206,605304,6053
1,9.238,14.254,6.469,605311,6053
1,13.394,30.458,11.486,605312,6053
1,5.728,9.319,7.551,605313,6053
1,5.736,5.825,9.497,605318,6053
1,18.834,37.267,19.063,605322,6053
1,11.815,7.63,10.136,605323,6053
1,18.507,29.431,22.389,605324,6053
1,19.276,37.089,19.76,605325,6053
1,7.685,27.519,15.69,605326,6053
1,20.861,39.91,22.389,605327,6053
1,10.977,22.238,12.326,605328,6053
1,8.583,9.755,7.601,605332,6053
1,15.092,26.059,19.068,605333,6053
1,19.712,32.637,20.175,605334,6053
1,14.234,8.21,11.966,605336,6053
1,10.294,28.308,10.672,605339,6053
1,19.359,35.844,24.893,605342,6053
1,5.309,9.043,13.3,605343,6053
1,17.749,28.253,12.194,605344,6053
1,19.249,32.217,18.011,605345,6053
1,15.374,34.25,15.558,605353,6053
1,20.861,24.286,11.643,605355,6053
1,18.914,33.333,16.453,605356,6053
1,20.861,33.302,18.447,605357,6053
1,16.305,34.058,14.346,605360,6053
1,18.372,37.946,16.26,605363,6053
1,19.276,26.912,17.585,605364,6053
1,12.29,19.245,14.491,605367,6053
1,5.781,19.134,10.235,605368,6053
1,15.27,27.683,14.119,605369,6053
1,17.58,26.035,7.354,605371,6053
1,18.027,27.574,19.536,605376,6053
1,8.954,12.878,10.873,605377,6053
1,18.701,25.482,20.031,605382,6053
1,12.6,17.9,10.516,605384,6053
1,-0.627,7.758,4.758,605386,6053
1,8.508,12.635,15.58,605387,6053
1,18.36,33.869,16.82,605388,6053
1,11.311,6.682,11.948,605393,6053
1,18.762,33.316,19.644,605395,6053
1,14.541,18.084,8.175,605397,6053
1,16.235,31.305,14.795,605398,6053
2,1.644,2.171,3.588,1437900,14379
2,7.972,27.306,8.776,1437902,14379
2,12.286,12.306,7.079,1437903,14379
2,6.14,15.566,7.27,1437904,14379
2,18.988,16.759,16.577,1437905,14379
2,18.701,30.689,20.936,1437907,14379
2,-0.627,20.71,10.513,1437908,14379
2,16.057,29.962,17.524,1437909,14379
2,10.957,14.541,13.759,1437910,14379
2,11.338,16.001,10.425,1437911,14379
2,20.861,29.875,16.474,1437912,14379
2,-0.627,9.804,11.574,1437914,14379
2,9.808,26.271,16.863,1437916,14379
2,8.898,24.457,12.354,1437917,14379
2,18.988,24.153,13.542,1437920,14379
2,10.671,7.858,5.573,1437921,14379
2,14.921,23.302,17.561,1437922,14379
2,0.265,10.488,14.46,1437926,14379
2,19.359,31.806,18.113,1437929,14379
2,19.249,25.599,12.347,1437931,14379
2,14.904,30.795,13.986,1437932,14379
2,-0.627,16.483,10.201,1437933,14379
2,19.124,16.011,15.605,1437934,14379
2,12.035,12.273,14.143,1437935,14379
2,11.342,15.828,17.262,1437936,14379
2,19.628,29.676,15.954,1437937,14379
2,14.402,27.204,17.37,1437939,14379
2,18.144,29.603,8.06,1437940,14379
2,8.148,6.308,10.988,1437941,14379
2,19.124,22.102,19.862,1437942,14379
2,9.391,29.689,8.686,1437944,14379
2,13.221,18.234,13.05,1437945,14379
2,13.057,14.998,19.773,1437946,14379
2,18.988,27.665,17.066,1437948,14379
2,11.613,27.768,15.463,1437950,14379
2,8.922,26.22,14.351,1437952,14379
2,4.796,14.756,5.417,1437953,14379
2,14.124,13.112,15,1437954,14379
2,5.318,21.178,7.127,1437957,14379
2,0.456,15.912,19.638,1437959,14379
2,3.015,2.505,8.7,1437960,14379
2,-0.627,4.647,7.084,1437963,14379
2,18.424,26.466,22.389,1437964,14379
2,14.246,25.132,7.696,1437967,14379
2,20.861,29.4,22.389,1437969,14379
2,17.111,26.798,16.281,1437970,14379
2,18.694,23.988,14.119,1437971,14379
2,16.188,26.748,22.389,1437972,14379
2,5.431,12.687,-0.815,1437973,14379
2,7.587,6.186,7.481,1437974,14379
2,18.414,14.884,10.543,1437977,14379
2,15.027,22.258,10.162,1437978,14379
2,13.546,28.271,11.241,1437979,14379
2,3.638,28.741,18.081,1437980,14379
2,15.465,27.939,14.897,1437982,14379
2,20.861,27.106,19.154,1437983,14379
2,8.769,7.802,2.831,1437984,14379
2,13.88,13.085,11.249,1437986,14379
2,16.311,11.594,14.574,1437987,14379
2,10.178,20.543,6.816,1437989,14379
2,13.654,27.872,16.453,1437990,14379
2,16.433,12.708,13.016,1437994,14379
2,-0.627,7.566,4.452,1437996,14379
2,19.276,32.504,15.465,1437999,14379
3,13.94,21.128,14.276,2618802,26188
3,20.275,35.706,17.062,2618803,26188
3,16.857,26.209,12.308,2618809,26188
3,18.816,33.385,16.394,2618810,26188
3,18.171,35.107,18.745,2618814,26188
3,16.588,35.138,19.366,2618817,26188
3,16.438,33.45,14.894,2618818,26188
3,19.359,36.715,23.804,2618822,26188
3,5.877,28.749,15.107,2618825,26188
3,12.099,17.244,18.607,2618828,26188
